season,team,goals
2016–17,Tottenham Hotspur,86
2016–17,Chelsea,85
2016–17,Manchester City,80
2016–17,Liverpool,78
2016–17,Arsenal,77
2016–17,Everton,62
2016–17,Bournemouth,55
2016–17,Manchester United,54
2016–17,Crystal Palace,50
2016–17,Leicester City,48
2016–17,West Ham United,47
2016–17,Swansea City,45
2016–17,West Bromwich Albion,43
2016–17,Southampton,41
2016–17,Stoke City,41
2016–17,Watford,40
2016–17,Burnley,39
2016–17,Hull City,37
2016–17,Sunderland,29
2016–17,Middlesbrough,27
2017–18,Manchester City,106
2017–18,Liverpool,84
2017–18,Arsenal,74
2017–18,Tottenham Hotspur,74
2017–18,Manchester United,68
2017–18,Chelsea,62
2017–18,Leicester City,56
2017–18,West Ham United,48
2017–18,Bournemouth,45
2017–18,Crystal Palace,45
2017–18,Everton,44
2017–18,Watford,44
2017–18,Newcastle United,39
2017–18,Southampton,37
2017–18,Burnley,36
2017–18,Stoke City,35
2017–18,Brighton & Hove Albion,34
2017–18,West Bromwich Albion,31
2017–18,Huddersfield Town,28
2017–18,Swansea City,28
2018–19,Manchester City,95
2018–19,Liverpool,89
2018–19,Arsenal,73
2018–19,Tottenham Hotspur,67
2018–19,Manchester United,65
2018–19,Chelsea,63
2018–19,Bournemouth,56
2018–19,Everton,54
2018–19,Watford,52
2018–19,West Ham United,52
2018–19,Crystal Palace,51
2018–19,Leicester City,51
2018–19,Wolverhampton Wanderers,47
2018–19,Burnley,45
2018–19,Southampton,45
2018–19,Newcastle United,42
2018–19,Brighton & Hove Albion,35
2018–19,Cardiff City,34
2018–19,Fulham,34
2018–19,Huddersfield Town,22
2019–20,Manchester City,102
2019–20,Liverpool,85
2019–20,Chelsea,69
2019–20,Leicester City,67
2019–20,Manchester United,66
2019–20,Tottenham Hotspur,61
2019–20,Arsenal,56
2019–20,Wolverhampton Wanderers,52
2019–20,Southampton,51
2019–20,West Ham United,49
2019–20,Everton,44
2019–20,Burnley,43
2019–20,Aston Villa,41
2019–20,Bournemouth,40
2019–20,Brighton & Hove Albion,39
2019–20,Sheffield United,39
2019–20,Newcastle United,38
2019–20,Watford,36
2019–20,Crystal Palace,31
2019–20,Norwich City,26
2020–21,Manchester City,83
2020–21,Manchester United,73
2020–21,Leicester City,68
2020–21,Liverpool,68
2020–21,Tottenham Hotspur,68
2020–21,Leeds United,62
2020–21,West Ham United,62
2020–21,Chelsea,58
2020–21,Arsenal,55
2020–21,Aston Villa,55
2020–21,Everton,47
2020–21,Southampton,47
2020–21,Newcastle United,46
2020–21,Crystal Palace,41
2020–21,Brighton & Hove Albion,40
2020–21,Wolverhampton Wanderers,36
2020–21,West Bromwich Albion,35
2020–21,Burnley,33
2020–21,Fulham,27
2020–21,Sheffield United,20
